,date,temp_C,precip_mm,wind_avg_ms,sun_hours,humidity_pct,visibility_min_m,visibility_max_m
24185,2017-03-20,10.3,3.3,9.7,0.2,89.0,2700.0,25000.0
24186,2017-03-21,7.1,0.0,6.8,10.1,72.0,9000.0,32000.0
24187,2017-03-22,7.1,0.0,4.8,8.0,66.0,12000.0,42000.0
24188,2017-03-23,8.2,0.0,5.6,10.3,71.0,9000.0,29000.0
24189,2017-03-24,8.6,0.0,6.5,10.7,70.0,8000.0,37000.0
24190,2017-03-25,8.7,0.0,5.6,10.8,57.0,20000.0,47000.0
24191,2017-03-26,8.1,0.0,4.5,9.6,79.0,10000.0,25000.0
24192,2017-03-27,10.4,0.0,2.9,11.5,63.0,6000.0,42000.0
24193,2017-03-28,11.7,0.0,4.0,11.7,67.0,9000.0,22000.0
24194,2017-03-29,12.4,0.1,7.0,0.9,78.0,11000.0,37000.0
24195,2017-03-30,15.7,0.0,4.8,8.0,66.0,19000.0,37000.0
24196,2017-03-31,13.8,-0.1,5.3,5.8,71.0,17000.0,32000.0
24197,2017-04-01,10.1,0.1,3.1,0.2,84.0,3500.0,32000.0
24198,2017-04-02,10.0,0.0,3.4,12.0,82.0,4500.0,32000.0
24199,2017-04-03,9.1,0.0,1.7,4.0,84.0,3300.0,19000.0
24200,2017-04-04,9.9,0.0,2.5,8.5,78.0,2300.0,32000.0
24201,2017-04-05,9.0,0.0,5.0,8.2,78.0,2000.0,25000.0
24202,2017-04-06,8.0,-0.1,4.1,3.8,75.0,11000.0,24000.0
24203,2017-04-07,10.6,0.0,4.5,7.9,77.0,9000.0,42000.0
24204,2017-04-08,10.2,0.0,2.1,6.5,75.0,12000.0,42000.0
24205,2017-04-09,12.7,0.0,3.0,12.3,65.0,7000.0,17000.0
24206,2017-04-10,9.2,-0.1,5.8,6.2,74.0,9000.0,37000.0
24207,2017-04-11,9.8,0.0,5.4,10.3,71.0,18000.0,42000.0
24208,2017-04-12,9.9,0.6,7.0,0.9,82.0,5500.0,23000.0
24209,2017-04-13,8.7,0.0,5.3,6.6,77.0,10000.0,26000.0
24210,2017-04-14,9.9,0.9,5.1,4.8,73.0,8000.0,47000.0
24211,2017-04-15,9.3,2.7,7.4,4.5,75.0,6000.0,37000.0
24212,2017-04-16,7.7,6.1,4.4,2.9,78.0,7000.0,29000.0
24213,2017-04-17,6.7,5.2,4.9,9.9,71.0,3400.0,37000.0
24214,2017-04-18,6.4,2.7,4.6,10.2,69.0,8000.0,47000.0
24215,2017-04-19,5.1,0.0,2.5,7.9,56.0,25000.0,47000.0
24216,2017-04-20,7.5,0.0,3.7,11.5,63.0,17000.0,37000.0
24217,2017-04-21,10.8,1.1,5.5,0.3,81.0,3900.0,25000.0
24218,2017-04-22,7.8,1.2,5.4,6.8,70.0,8000.0,32000.0
24219,2017-04-23,7.1,0.8,3.8,6.8,74.0,13000.0,42000.0
24220,2017-04-24,9.2,2.2,6.2,1.9,80.0,9000.0,25000.0
24221,2017-04-25,6.0,2.1,6.4,7.6,75.0,11000.0,42000.0
24222,2017-04-26,5.7,1.1,3.5,8.0,73.0,13000.0,47000.0
24223,2017-04-27,6.9,1.7,4.3,7.5,71.0,10000.0,42000.0
24224,2017-04-28,7.8,3.5,3.7,7.9,76.0,8000.0,42000.0
24225,2017-04-29,8.2,0.0,2.4,6.7,71.0,15000.0,47000.0
24226,2017-04-30,13.0,0.0,7.0,11.5,48.0,25000.0,47000.0
24227,2017-05-01,11.9,0.4,4.0,0.7,69.0,11000.0,47000.0
24228,2017-05-02,11.3,1.9,3.5,4.4,81.0,3100.0,37000.0
24229,2017-05-03,10.9,3.1,4.3,2.4,83.0,3700.0,22000.0
24230,2017-05-04,10.6,-0.1,7.0,3.4,77.0,10000.0,25000.0
24231,2017-05-05,9.4,0.1,5.3,0.0,79.0,10000.0,25000.0
24232,2017-05-06,12.4,0.0,5.4,12.7,76.0,5500.0,22000.0
24233,2017-05-07,11.1,-0.1,4.8,5.3,82.0,5500.0,26000.0
24234,2017-05-08,9.8,-0.1,5.3,7.7,72.0,9000.0,37000.0
24235,2017-05-09,8.6,0.0,3.2,9.9,69.0,15000.0,37000.0
24236,2017-05-10,9.3,0.0,2.2,6.9,70.0,20000.0,42000.0
24237,2017-05-11,15.7,-0.1,4.0,12.1,60.0,15000.0,42000.0
24238,2017-05-12,15.4,8.9,4.0,2.6,86.0,4800.0,29000.0
24239,2017-05-13,13.9,2.5,4.1,1.7,85.0,3600.0,26000.0
24240,2017-05-14,13.8,2.5,4.5,9.9,76.0,2200.0,37000.0
24241,2017-05-15,14.9,0.3,3.7,8.7,73.0,12000.0,42000.0
24242,2017-05-16,20.1,-0.1,4.4,3.3,65.0,25000.0,47000.0
24243,2017-05-17,22.3,0.0,3.3,8.7,61.0,11000.0,47000.0
24244,2017-05-18,15.2,1.2,4.5,3.2,85.0,4200.0,32000.0
24245,2017-05-19,12.9,4.6,6.7,2.0,81.0,4400.0,25000.0
24246,2017-05-20,13.4,-0.1,3.9,11.4,71.0,5500.0,47000.0
24247,2017-05-21,14.4,0.0,3.0,9.7,71.0,9000.0,42000.0
24248,2017-05-22,18.0,0.0,2.8,12.0,61.0,15000.0,42000.0
24249,2017-05-23,15.4,0.0,4.3,12.0,70.0,11000.0,42000.0
24250,2017-05-24,15.5,0.0,3.6,9.1,78.0,7000.0,37000.0
24251,2017-05-25,17.2,0.0,2.7,14.7,72.0,500.0,42000.0
24252,2017-05-26,20.4,0.0,4.5,14.8,62.0,20000.0,47000.0
24253,2017-05-27,22.3,0.0,5.5,13.8,59.0,25000.0,47000.0
24254,2017-05-28,18.9,0.0,3.5,13.0,66.0,20000.0,47000.0
24255,2017-05-29,20.7,7.0,3.8,10.1,75.0,3100.0,32000.0
24256,2017-05-30,17.2,0.2,6.3,1.7,82.0,3100.0,32000.0
24257,2017-05-31,16.6,0.0,3.4,13.5,71.0,11000.0,42000.0
24258,2017-06-01,17.0,0.0,1.8,14.9,60.0,15000.0,47000.0
