,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
66,67,914,1327,0,0,1276,721,192,VRA01_0088,POINT(4.75976 52.3873),POINT(52.3873 4.75976),4.75976,52.3873,POINT (112285.254437858 489012.0455147095)
67,68,1765,2192,0,0,1652,1437,1053,VRA01_0089,POINT(4.87323 52.42279),POINT(52.42279 4.87323),4.87323,52.42279,POINT (120037.9013420207 492899.9522213739)
68,69,481,595,0,0,601,594,665,VRA01_0090,POINT(4.86731 52.431129),POINT(52.431129 4.86731),4.86731,52.431129,POINT (119641.8685028875 493830.6570832093)
69,70,1940,2480,0,1660,2400,2035,1724,VRA01_0091,POINT(4.776886 52.493749),POINT(52.493749 4.776886),4.776886,52.493749,POINT (113550.9241441137 500845.9955024537)
70,71,3586,4271,0,0,4942,4603,4255,VRA01_0092,POINT(4.77737 52.49705),POINT(52.49705 4.77737),4.77737,52.49705,POINT (113586.8873270125 501213.0043272257)
71,72,738,564,586,0,845,883,917,VRA01_0093,POINT(4.75954 52.32049),POINT(52.32049 4.75954),4.75954,52.32049,POINT (112205.9011123273 481578.7920608729)
72,73,0,0,269,0,438,485,380,VRA01_0094,POINT(4.75984 52.32027),POINT(52.32027 4.75984),4.75984,52.32027,POINT (112226.1428996751 481554.137629185)
73,74,869,836,0,0,725,681,0,VRA01_0095,POINT(4.71141 52.36798),POINT(52.36798 4.71141),4.71141,52.36798,POINT (108973.7317760284 486892.0721214467)
74,75,263,355,0,0,323,308,0,VRA01_0096,POINT(4.70927 52.36807),POINT(52.36807 4.70927),4.70927,52.36807,POINT (108828.0796155806 486903.4469740383)
75,76,1265,1475,1133,0,1187,1135,0,VRA01_0097,POINT(4.961548 52.288417),POINT(52.288417 4.961548),4.961548,52.288417,POINT (125957.7080175814 477910.2293223408)
76,77,693,665,590,0,834,876,742,VRA01_0098,POINT(4.76862 52.33029),POINT(52.33029 4.76862),4.76862,52.33029,POINT (112834.2689010506 482663.8283861119)
77,78,1481,1407,1360,0,1543,1582,1251,VRA01_0099,POINT(4.84581 52.33634),POINT(52.33634 4.84581),4.84581,52.33634,POINT (118100.8721836084 483294.863697433)
78,79,1879,2066,0,0,2182,2299,2063,VRA01_0100,POINT(4.708081 52.297222),POINT(52.297222 4.708081),4.708081,52.297222,POINT (108673.247349344 479021.6163387507)
79,80,367,331,0,0,412,357,333,VRA01_0101,POINT(4.67622 52.3156),POINT(52.3156 4.67622),4.67622,52.3156,POINT (106519.9326066092 481087.1825230052)
80,81,0,0,0,0,0,0,1347,VRA01_0102,POINT(4.79299 52.50041),POINT(52.50041 4.79299),4.79299,52.50041,POINT (114650.6730945552 501578.0360067363)
81,82,536,814,0,0,840,840,725,VRA01_0103,POINT(4.72575 52.43532),POINT(52.43532 4.72575),4.72575,52.43532,POINT (110018.7699934212 494375.4636585069)
82,83,1458,1724,1308,0,1215,1241,1119,VRA01_0104,POINT(4.99849 52.34135),POINT(52.34135 4.99849),4.99849,52.34135,POINT (128509.7979794258 483785.5335963764)
83,84,297,275,201,0,139,148,0,VRA01_0105,POINT(5.000452 52.334756),POINT(52.334756 5.000452),5.000452,52.334756,POINT (128639.5900055402 483051.1502967083)
