,object_id,weekday_2023,weekday_2022,weekday_2021,weekday_2020,weekday_2019,weekday_2018,weekday_2017,location_code,wkt_lng_lat,wkt_lat_lng,longitude,latitude,geometry
119,120,0,0,0,0,0,0,1194,VRA01_0141,POINT(4.82021 52.4526),POINT(52.4526 4.82021),4.82021,52.4526,POINT (116457.3320605913 496243.6388789388)
120,121,0,0,0,0,0,0,3282,VRA01_0142,POINT(4.82049 52.45245),POINT(52.45245 4.82049),4.82049,52.45245,POINT (116476.2347982831 496226.8002654884)
121,122,0,0,0,0,0,0,10851,VRA01_0143,POINT(4.86846 52.33778),POINT(52.33778 4.86846),4.86846,52.33778,POINT (119645.7277214686 483443.7926153846)
122,123,0,0,0,0,0,0,5634,VRA01_0144,POINT(4.86899 52.3378),POINT(52.3378 4.86899),4.86899,52.3378,POINT (119681.8645956849 483445.7594951678)
123,124,996,0,0,0,0,0,1198,VRA01_0145,POINT(5.05391 52.50486),POINT(52.50486 5.05391),5.05391,52.50486,POINT (132370.2385953408 501959.7039236112)
124,125,987,0,0,0,0,0,1330,VRA01_0146,POINT(5.05405 52.50498),POINT(52.50498 5.05405),5.05405,52.50498,POINT (132379.8055712435 501973.0122468217)
125,126,1025,1110,0,0,1683,1766,1775,VRA01_0147,POINT(4.82647 52.41255),POINT(52.41255 4.82647),4.82647,52.41255,POINT (116848.368955068 491784.2060399533)
126,127,0,0,0,0,0,0,942,VRA01_0148,POINT(4.95524 52.53568),POINT(52.53568 4.95524),4.95524,52.53568,POINT (125691.3373170743 505424.3516281615)
127,128,0,0,0,0,0,0,383,VRA01_0149,POINT(5.0153 52.6254),POINT(52.6254 5.0153),5.0153,52.6254,POINT (129817.6557685102 515384.7739311339)
128,129,0,0,0,0,0,1023,0,VRA01_0151,POINT(5.028826 52.455036),POINT(52.455036 5.028826),5.028826,52.455036,POINT (130639.6857901129 496424.0983310269)
129,130,281,319,0,0,322,0,0,VRA01_0152,POINT(4.950226 52.426969),POINT(52.426969 4.950226),4.950226,52.426969,POINT (125278.158035912 493330.5537350978)
