cluster_id,accident_count,center_lat,center_lon,lat_std,lon_std,year_range,avg_year,top_streets
85,75,52.392340482913646,4.931366547443369,0.004349229699578718,0.01831318108431367,2016-2016,2016.0,"IJdoornlaan (10), Kamperfoelieweg (9), Meeuwenlaan (8)"
103,74,52.33837227357937,4.864164674733836,0.0004362220852412785,0.0005474304554907206,2019-2019,2019.0,Ringweg-Zuid (74)
57,74,52.428973706245344,4.8708609686095015,0.0014930358137826936,0.0014926431836454828,2020-2020,2020.0,"Coentunnelweg (49), KP COENPLEIN (23), ZAANSTAD-ZUID 1 (2)"
23,74,52.424035295180126,4.8943744214659555,0.0006503103068011014,0.0066687812406452775,2018-2018,2018.0,"Ringweg-Noord (58), A.DAM-TUINDORP-OOSTZAAN 18 (7), Verlengde Stellingweg (4)"
40,73,52.36803718082105,4.97158557624817,0.004639969688328916,0.0027470421614574506,2020-2020,2020.0,"Ringweg-Oost (45), ZEEBURG 14 (9), ZEEBURGERTUNNEL (7)"
80,72,52.40384010519141,4.852569614045045,0.00199765145545254,0.0033749940243629063,2021-2021,2021.0,"Ringweg-West (52), Westrandweg (9), AMSTERDAM-HEMHAVENS 1 (5)"
135,72,52.35160389023712,4.852511507701646,0.0027377190870053482,0.006862922634542378,2017-2017,2017.0,"Amstelveenseweg (10), Koninginneweg (9), Ringweg-West (8)"
82,72,52.40642324189397,4.856339107283737,0.0037637299553020037,0.004205260382135617,2017-2017,2017.0,"Ringweg-West (67), AMSTERDAM-HEMHAVENS 1 (3), Petroleumhavenweg (1)"
157,72,52.35151843657952,4.855462678976108,0.0017284005003834044,0.010163386429750482,2016-2016,2016.0,"Koninginneweg (16), Ringweg-West (11), Heemstedestraat (8)"
79,70,52.368252169890084,4.969903754258051,0.003133041101766598,0.0037634909053920296,2023-2023,2023.0,"Ringweg-Oost (34), IJburglaan (15), ZEEBURGERTUNNEL (6)"
81,70,52.39064522854122,4.921971700735436,0.004971286301692659,0.010195471843927691,2020-2020,2020.0,"Buikslotermeerplein (13), Meeuwenlaan (11), Nieuwe Leeuwarderweg (9)"
116,70,52.3512847062247,4.852462579348096,0.003689622146441295,0.006808338389084312,2015-2015,2015.0,"Ringweg-West (11), Amstelveenseweg (9), Stadionweg (7)"
49,70,52.390494123404686,4.963236844623612,0.0030023434171881753,0.004980324344384866,2023-2023,2023.0,"Ringweg-Noord (27), Zuiderzeeweg (14), Ringweg-Oost (13)"
50,70,52.34276253799901,4.954514702152497,0.00053979609965569,0.0007441454327758141,2019-2019,2019.0,"Ringweg-Oost (58), AMSTERDAM-WATERGRAAFSMEER 13 (7), RYKSWG (4)"
34,69,52.35345734679436,4.964455019473833,0.000884957532453762,0.0010417507201041384,2023-2023,2023.0,"Ringweg-Oost (51), RYKSWG (10), KP WATERGRAAFSMEER (5)"
90,69,52.330038829559136,4.907960809801826,0.0013238332508975852,0.004754931520506101,2020-2020,2020.0,"Ringweg-Zuid (38), KP AMSTEL (16), Nieuwe Utrechtseweg (11)"
75,69,52.359345074506635,4.797590721959478,0.00368118989333298,0.008464826688176911,2017-2017,2017.0,"Meer en Vaart (22), Tussen Meer (8), Osdorper Ban (5)"
52,68,52.393545539279295,4.794534535855968,0.0014996613453783342,0.008405065926428342,2020-2020,2020.0,"Westrandweg (48), Westpoortweg (4), AMSTERDAM-WESTPOORT 3 (4)"
118,68,52.338380670728306,4.864175333433542,0.00045547783512836797,0.0007243168979094669,2023-2023,2023.0,"Ringweg-Zuid (63), AMSTERDAM-OUD ZUID 8 (4), Parnassusweg (1)"
19,68,52.42748676782882,4.872365449061257,0.0013489034611302807,0.0013454173554102087,2018-2018,2018.0,"KP COENPLEIN (53), Coentunnelweg (12), ZAANSTAD-ZUID 1 (2)"
29,68,52.41840541357069,4.91172433417359,0.0012569676240684793,0.0022288372355520974,2019-2019,2019.0,"Ringweg-Noord (53), IJdoornlaan (10), KADOELEN 17 (4)"
91,67,52.33804931505133,4.863361494749938,0.0009396412774176629,0.002163750559258283,2015-2015,2015.0,"Ringweg-Zuid (57), De Boelelaan (4), AMSTERDAM-OUD ZUID 8 (3)"
86,66,52.39677103303739,4.947323414183242,0.0055961945966024745,0.011521109702765098,2015-2015,2015.0,"IJdoornlaan (9), Nieuwe Leeuwarderweg (8), Ringweg-Noord (7)"
139,66,52.35444398527725,4.842640670701192,0.0002236015168247819,0.0004936668152391076,2020-2020,2020.0,"Ringweg-West (61), OSDORP 6 (3), Westlandgracht (1)"
98,66,52.33454272914107,4.89473776991839,0.000816899785486366,0.0025596309513381175,2019-2019,2019.0,"Ringweg-Zuid (54), AMSTERDAM-BUITENVELDERT 9 (4), AMSTERDAM-RIVIERENBUURT 9 (4)"
67,65,52.357782591181135,4.8007720744792834,0.004423405482256511,0.006363973806852568,2020-2020,2020.0,"Meer en Vaart (13), Pieter Calandlaan (10), Osdorper Ban (8)"
152,64,52.36165778155971,4.842345516478675,0.00022240338638986791,0.0002563284356649493,2019-2019,2019.0,"Ringweg-West (62), Derkinderenstraat (1), OSDORP 6 (1)"
70,64,52.393156146227895,4.792802212053633,0.0008849326129031664,0.010642515079012317,2022-2022,2022.0,"Westrandweg (43), IJMUIDEN 2 (8), AMSTERDAM-WESTPOORT 3 (6)"
68,64,52.41025945770767,4.860572610696414,0.00030262821594222384,0.0006447323094047979,2019-2019,2019.0,Ringweg-West (64)
134,64,52.39208122445994,4.845371012531663,0.002126536282256196,0.00316544397701016,2019-2019,2019.0,"Ringweg-West (38), Transformatorweg (8), AMSTERDAM-SLOTERDIJK 2 (8)"
17,63,52.3412193105696,4.950809580683724,0.0040233084441837225,0.0067927903827803456,2016-2016,2016.0,"Ringweg-Oost (54), RYKSWG (4), AMSTERDAM-WATERGRAAFSMEER 13 (2)"
119,63,52.338325538114375,4.858611878698045,0.0005707615703096461,0.0003159573875817873,2023-2023,2023.0,"Ringweg-Zuid (55), AMSTERDAM-OUD ZUID 8 (8)"
