OBJECTNUMMER;Werkdag_2023;Werkdag_2022;Werkdag_2021;Werkdag_2020;Werkdag_2019;Werkdag_2018;Werkdag_2017;LOCATIE;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT;
1;0;0;0;0;724;0;569;"VRA01_0001";"POINT(5.1353 52.32418)";"POINT(52.32418 5.1353)";5.1353;52.32418;
2;2365;2736;1279;1764;2398;2521;2187;"VRA01_0002";"POINT(5.023534 52.302822)";"POINT(52.302822 5.023534)";5.023534;52.302822;
3;634;673;546;442;590;775;547;"VRA01_0003";"POINT(5.011511 52.332756)";"POINT(52.332756 5.011511)";5.011511;52.332756;
4;723;716;476;0;388;563;359;"VRA01_0004";"POINT(5.01383 52.340321)";"POINT(52.340321 5.01383)";5.01383;52.340321;
5;597;532;517;0;466;497;0;"VRA01_0005";"POINT(4.987085 52.33948)";"POINT(52.33948 4.987085)";4.987085;52.33948;
6;8114;9356;7164;0;7636;0;6481;"VRA01_0008";"POINT(4.965429 52.356421)";"POINT(52.356421 4.965429)";4.965429;52.356421;
7;3203;3739;3187;0;3198;3249;2827;"VRA01_0009";"POINT(4.962548 52.370277)";"POINT(52.370277 4.962548)";4.962548;52.370277;
8;3192;3789;3193;0;3215;3159;2848;"VRA01_0010";"POINT(4.962151 52.370316)";"POINT(52.370316 4.962151)";4.962151;52.370316;
9;375;779;648;0;651;0;0;"VRA01_0011";"POINT(4.975172 52.383457)";"POINT(52.383457 4.975172)";4.975172;52.383457;
10;0;681;483;0;868;922;0;"VRA01_0012";"POINT(4.975987 52.383745)";"POINT(52.383745 4.975987)";4.975987;52.383745;
11;3822;4171;3967;0;4110;4008;0;"VRA01_0013";"POINT(4.954126 52.344411)";"POINT(52.344411 4.954126)";4.954126;52.344411;
12;4011;3258;3039;0;3967;3878;3517;"VRA01_0014";"POINT(4.943703 52.336586)";"POINT(52.336586 4.943703)";4.943703;52.336586;
13;6177;5551;5032;0;6899;6733;6026;"VRA01_0015";"POINT(4.946133 52.335177)";"POINT(52.335177 4.946133)";4.946133;52.335177;
14;276;640;671;0;1018;1164;0;"VRA01_0016";"POINT(4.93239 52.334127)";"POINT(52.334127 4.93239)";4.93239;52.334127;
15;0;0;0;0;2319;2312;2408;"VRA01_0017";"POINT(4.923148 52.336497)";"POINT(52.336497 4.923148)";4.923148;52.336497;
16;6410;6239;5192;0;3060;3468;3241;"VRA01_0018";"POINT(4.922871 52.33644)";"POINT(52.33644 4.922871)";4.922871;52.33644;
17;13811;12730;12915;0;15931;17204;15985;"VRA01_0019";"POINT(4.915084 52.34565)";"POINT(52.34565 4.915084)";4.915084;52.34565;
18;1761;2240;1380;0;2250;2431;2312;"VRA01_0020";"POINT(4.939441 52.329604)";"POINT(52.329604 4.939441)";4.939441;52.329604;
19;561;713;650;0;1180;0;947;"VRA01_0021";"POINT(4.92993 52.319723)";"POINT(52.319723 4.92993)";4.92993;52.319723;
20;5951;5208;4824;0;6650;8152;5947;"VRA01_0022";"POINT(4.929527 52.319623)";"POINT(52.319623 4.929527)";4.929527;52.319623;
21;2298;3879;2869;0;4442;4413;0;"VRA01_0023";"POINT(4.917127 52.324168)";"POINT(52.324168 4.917127)";4.917127;52.324168;
22;5994;6427;4517;0;6544;6003;5515;"VRA01_0024";"POINT(4.896576 52.333144)";"POINT(52.333144 4.896576)";4.896576;52.333144;
23;1838;1405;1223;0;0;0;1416;"VRA01_0027";"POINT(4.871724 52.314241)";"POINT(52.314241 4.871724)";4.871724;52.314241;
24;1870;1561;1281;0;0;0;1432;"VRA01_0028";"POINT(4.871182 52.314064)";"POINT(52.314064 4.871182)";4.871182;52.314064;
25;3001;2061;1813;0;0;1842;2213;"VRA01_0029";"POINT(4.868456 52.297196)";"POINT(52.297196 4.868456)";4.868456;52.297196;
26;3303;1905;1581;0;0;1567;1777;"VRA01_0030";"POINT(4.867901 52.29729)";"POINT(52.29729 4.867901)";4.867901;52.29729;
27;0;0;0;820;1536;1400;1212;"VRA01_0032";"POINT(4.813186 52.312098)";"POINT(52.312098 4.813186)";4.813186;52.312098;
28;2106;2312;1929;0;2324;2359;2084;"VRA01_0033";"POINT(4.85579 52.31823)";"POINT(52.31823 4.85579)";4.85579;52.31823;
29;842;887;0;0;1101;0;0;"VRA01_0034";"POINT(4.846862 52.396076)";"POINT(52.396076 4.846862)";4.846862;52.396076;
30;1030;1260;0;0;1096;0;0;"VRA01_0035";"POINT(4.83708 52.40452)";"POINT(52.40452 4.83708)";4.83708;52.40452;
31;1383;1688;0;0;1232;1154;1170;"VRA01_0036";"POINT(4.882799 52.411288)";"POINT(52.411288 4.882799)";4.882799;52.411288;
32;2640;3264;0;0;3399;3399;3243;"VRA01_0038";"POINT(4.827153 52.426905)";"POINT(52.426905 4.827153)";4.827153;52.426905;
33;2693;2819;0;0;3749;3664;3427;"VRA01_0041";"POINT(4.81106 52.44469)";"POINT(52.44469 4.81106)";4.81106;52.44469;
34;2620;2989;0;0;3722;3254;3177;"VRA01_0042";"POINT(4.81035 52.44486)";"POINT(52.44486 4.81035)";4.81035;52.44486;
35;2821;3376;0;0;3443;3261;3132;"VRA01_0043";"POINT(4.805132 52.471531)";"POINT(52.471531 4.805132)";4.805132;52.471531;
36;1095;1312;0;0;1486;1427;1415;"VRA01_0044";"POINT(4.789621 52.490396)";"POINT(52.490396 4.789621)";4.789621;52.490396;
37;1859;2422;0;1693;2414;2232;2146;"VRA01_0045";"POINT(4.789564 52.490227)";"POINT(52.490227 4.789564)";4.789564;52.490227;
38;320;312;0;0;309;0;0;"VRA01_0047";"POINT(4.948419 52.486074)";"POINT(52.486074 4.948419)";4.948419;52.486074;
39;5293;6413;0;0;0;5898;5786;"VRA01_0048";"POINT(4.943888 52.507617)";"POINT(52.507617 4.943888)";4.943888;52.507617;
40;1514;1784;0;0;1302;1592;1429;"VRA01_0051";"POINT(4.946537 52.511944)";"POINT(52.511944 4.946537)";4.946537;52.511944;
41;2117;2503;0;0;2107;2324;1968;"VRA01_0052";"POINT(4.946412 52.511894)";"POINT(52.511894 4.946412)";4.946412;52.511894;
42;1753;2186;0;0;1963;1835;1960;"VRA01_0055";"POINT(4.804113 52.247986)";"POINT(52.247986 4.804113)";4.804113;52.247986;
43;1787;1935;0;0;1806;1586;0;"VRA01_0056";"POINT(4.778355 52.254663)";"POINT(52.254663 4.778355)";4.778355;52.254663;
44;3138;3569;0;0;3446;3602;0;"VRA01_0057";"POINT(4.75117 52.27383)";"POINT(52.27383 4.75117)";4.75117;52.27383;
45;1385;1434;0;0;1767;1700;1441;"VRA01_0058";"POINT(4.729711 52.285747)";"POINT(52.285747 4.729711)";4.729711;52.285747;
46;0;0;0;0;1033;1160;1022;"VRA01_0059";"POINT(4.727688 52.28785)";"POINT(52.28785 4.727688)";4.727688;52.28785;
47;1919;1887;0;0;2149;2335;2263;"VRA01_0060";"POINT(4.723987 52.288848)";"POINT(52.288848 4.723987)";4.723987;52.288848;
48;0;0;778;0;1212;1245;1234;"VRA01_0062";"POINT(4.759285 52.320232)";"POINT(52.320232 4.759285)";4.759285;52.320232;
49;792;894;423;541;1091;849;875;"VRA01_0064";"POINT(4.784229 52.328836)";"POINT(52.328836 4.784229)";4.784229;52.328836;
50;718;719;0;432;651;560;0;"VRA01_0067";"POINT(4.688053 52.37062)";"POINT(52.37062 4.688053)";4.688053;52.37062;
51;2188;2744;0;1953;2744;2695;0;"VRA01_0068";"POINT(4.64682 52.33026)";"POINT(52.33026 4.64682)";4.64682;52.33026;
52;343;412;0;0;754;0;60;"VRA01_0070";"POINT(4.890289 52.484786)";"POINT(52.484786 4.890289)";4.890289;52.484786;
53;0;0;0;0;2240;2610;0;"VRA01_0072";"POINT(5.169485 52.357303)";"POINT(52.357303 5.169485)";5.169485;52.357303;
54;0;0;0;0;3156;3180;0;"VRA01_0073";"POINT(5.21392 52.374019)";"POINT(52.374019 5.21392)";5.21392;52.374019;
55;0;0;0;0;4114;3955;0;"VRA01_0074";"POINT(5.261798 52.381475)";"POINT(52.381475 5.261798)";5.261798;52.381475;
56;5091;5327;5403;0;5103;4668;4116;"VRA01_0075";"POINT(4.850711 52.30803)";"POINT(52.30803 4.850711)";4.850711;52.30803;
57;832;915;823;0;1219;1203;0;"VRA01_0076";"POINT(4.838 52.30468)";"POINT(52.30468 4.838)";4.838;52.30468;
58;791;864;816;0;786;0;0;"VRA01_0077";"POINT(4.851744 52.30056)";"POINT(52.30056 4.851744)";4.851744;52.30056;
59;5783;5667;2748;0;2631;5412;4827;"VRA01_0080";"POINT(4.899675 52.298858)";"POINT(52.298858 4.899675)";4.899675;52.298858;
60;1463;1546;931;804;530;1872;0;"VRA01_0081";"POINT(4.92007 52.30387)";"POINT(52.30387 4.92007)";4.92007;52.30387;
61;997;1037;736;0;2319;1089;0;"VRA01_0082";"POINT(4.920367 52.30367)";"POINT(52.30367 4.920367)";4.920367;52.30367;
62;935;966;856;0;916;878;765;"VRA01_0083";"POINT(4.945969 52.293325)";"POINT(52.293325 4.945969)";4.945969;52.293325;
63;1565;1691;0;0;1731;0;0;"VRA01_0084";"POINT(4.634073 52.279506)";"POINT(52.279506 4.634073)";4.634073;52.279506;
64;236;231;0;0;256;0;0;"VRA01_0085";"POINT(4.610413 52.262949)";"POINT(52.262949 4.610413)";4.610413;52.262949;
65;1911;1712;0;0;1749;0;0;"VRA01_0086";"POINT(4.57256 52.254876)";"POINT(52.254876 4.57256)";4.57256;52.254876;
66;1081;1482;0;0;990;968;803;"VRA01_0087";"POINT(4.82485 52.41278)";"POINT(52.41278 4.82485)";4.82485;52.41278;
67;914;1327;0;0;1276;721;192;"VRA01_0088";"POINT(4.75976 52.3873)";"POINT(52.3873 4.75976)";4.75976;52.3873;
68;1765;2192;0;0;1652;1437;1053;"VRA01_0089";"POINT(4.87323 52.42279)";"POINT(52.42279 4.87323)";4.87323;52.42279;
69;481;595;0;0;601;594;665;"VRA01_0090";"POINT(4.86731 52.431129)";"POINT(52.431129 4.86731)";4.86731;52.431129;
70;1940;2480;0;1660;2400;2035;1724;"VRA01_0091";"POINT(4.776886 52.493749)";"POINT(52.493749 4.776886)";4.776886;52.493749;
71;3586;4271;0;0;4942;4603;4255;"VRA01_0092";"POINT(4.77737 52.49705)";"POINT(52.49705 4.77737)";4.77737;52.49705;
72;738;564;586;0;845;883;917;"VRA01_0093";"POINT(4.75954 52.32049)";"POINT(52.32049 4.75954)";4.75954;52.32049;
73;0;0;269;0;438;485;380;"VRA01_0094";"POINT(4.75984 52.32027)";"POINT(52.32027 4.75984)";4.75984;52.32027;
74;869;836;0;0;725;681;0;"VRA01_0095";"POINT(4.71141 52.36798)";"POINT(52.36798 4.71141)";4.71141;52.36798;
75;263;355;0;0;323;308;0;"VRA01_0096";"POINT(4.70927 52.36807)";"POINT(52.36807 4.70927)";4.70927;52.36807;
76;1265;1475;1133;0;1187;1135;0;"VRA01_0097";"POINT(4.961548 52.288417)";"POINT(52.288417 4.961548)";4.961548;52.288417;
77;693;665;590;0;834;876;742;"VRA01_0098";"POINT(4.76862 52.33029)";"POINT(52.33029 4.76862)";4.76862;52.33029;
78;1481;1407;1360;0;1543;1582;1251;"VRA01_0099";"POINT(4.84581 52.33634)";"POINT(52.33634 4.84581)";4.84581;52.33634;
79;1879;2066;0;0;2182;2299;2063;"VRA01_0100";"POINT(4.708081 52.297222)";"POINT(52.297222 4.708081)";4.708081;52.297222;
80;367;331;0;0;412;357;333;"VRA01_0101";"POINT(4.67622 52.3156)";"POINT(52.3156 4.67622)";4.67622;52.3156;
